Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Демʼянюк,Єлисавета,Іларіонівна,Жінка,1983.07.19,Мистецтвознавець,селище Гірське,"провулок Флотський 3-й, буд. 18 кв. 759, Чистякове, 20706",+380 (86) 166-73-91,lvenhrynovych@example.net
Іщенко,Соломія,Савеліївна,Жінка,1989.04.18,Психолог,селище Дубровиця,"площа Іванова 1-й, буд. 6, Кам'янець-Подільський, 92635",+380 (53) 472-80-02,dan48@example.net
Дубина,Валерій,Олексіївна,Чоловік,1998.10.25,Мінералог,село Новий Розділ,"набережна Садова, буд. 4 кв. 0, Молодогвардійськ, 57621",035 222-14-20,fturkalo@example.net
Ватаманюк,Антон,Мстиславівна,Чоловік,2001.03.02,Ветеринар,хутір Золочів,"площа Інглезі, буд. 206, Василівка , 24498",331-51-28,klavdiiaderehus@example.net
Ісаєвич,Василь,Юстиніанівна,Чоловік,1963.05.18,Мистецтвознавець,хутір Стебник,"набережна Херсонський, буд. 10, Василівка , 96604",081 246 68 61,azar88@example.com
Яремко,Сергій,Варфоломійович,Чоловік,1997.08.16,Професор,хутір Донецьк,"набережна Радісна, буд. 08 кв. 20, Прип'ять , 38604",+380 49 509-21-41,semenandriienko@example.net
Корпанюк,Демид,Мартінівна,Чоловік,2002.02.28,Електромонтер,місто Долинська,"шосе Новоукраїнський, буд. 969, Славутич, 06764",+380 61 408-01-68,rostyslav82@example.net
Журавель,Арсен,Володиславівна,Чоловік,1978.11.10,Хореограф,село Погребище,"сквер Лесі Українки, буд. 64, Чортків, 32543",604-08-47,iaryna44@example.net
Адамчук,Ярина,Федорович,Жінка,2007.10.15,Кінорежисер,хутір Радомишль,"шосе Лесі Українки, буд. 1 кв. 8, Вільнянськ, 92960",234 68 54,ievhen24@example.com
Венгринович,Анжела,Дорофіївна,Жінка,1968.09.15,Математик,місто Золотоноша,"сквер Морехідний, буд. 6, Бахчисарай, 50948",+380 89 819 56 00,mazepabohuslava@example.net
Вітрук,Єва,Болеславівна,Жінка,1969.08.04,Етнограф,село Запоріжжя,"парк Ашгабатська, буд. 594, Тальне, 96983",070 804-81-19,gfesenko@example.com
Франко,Амалія,Лаврінівна,Жінка,1956.07.10,Літературознавець,село Верхівцеве,"площа Куликове поле, буд. 8, Здолбунів, 91122",+380 90 698-08-48,myroslavlutsenko@example.net
Засенко,Болеслав,Юліанівна,Чоловік,1953.10.22,Бухгалтер,хутір Кремінна,"площа Житкова, буд. 8 кв. 360, Монастириська, 72892",+380 04 226-87-17,terezahodunok@example.net
Ящук,Яків,Давидович,Чоловік,1973.10.30,Музикознавець,селище Сіверськ,"сквер Азовський, буд. 978, Красноград, 76961",+380 59 454-84-25,les08@example.net
Жаліло,Теодор,Тимофіївна,Чоловік,1974.12.08,Перекладач,хутір Глиняни,"парк Кільцева, буд. 7 кв. 5, Носівка, 07452",+380 11 509-94-56,viktor83@example.org
Товстуха,Лесь,Гаврилівна,Чоловік,1958.01.30,Кур'єр,село Середина-Буда,"сквер Тимірязєва, буд. 76 кв. 3, Барвінкове, 24933",+380 03 468-22-57,edyta34@example.org
Демʼянчук,Олекса,Григоріївна,Чоловік,1958.07.06,Акушер,селище Саки ,"провулок Слов'янська, буд. 46, Вуглегірськ, 34926",048 861-88-97,andriiiemelianenko@example.com
Андрейко,Омелян,Григоріївна,Чоловік,1964.01.06,Мовознавець,село Кам'янське,"шосе Восьмого березня 4-й, буд. 1, Роздільна, 35803",028 689 48 22,vlasiukleopold@example.net
Вітрук,Клавдія,Борисович,Жінка,1954.07.21,Скульптор,місто Подільськ,"узвіз Уютна, буд. 3, Підгайці, 06638",218 41 89,snizhana72@example.com
Артюх,Лілія,Давидович,Жінка,2004.02.16,Агроном,місто Тиврів,"сквер Тираспольська, буд. 5 кв. 54, Світлодарськ, 05506",+380 16 809-18-35,iosypskyba@example.org
Ященко,Богуслава,Олексіївна,Жінка,1971.05.13,Провізор,селище Славута,"площа Пресича Олександра, буд. 10, Стебник, 06965",015 62 98,ivanenkovadym@example.net
Фесенко,Розалія,Альбертівна,Жінка,1967.06.14,Головний меркшейдер,місто Тетіїв,"узвіз Дунаєва, буд. 1, Шахтарськ, 70805",+380 57 754-58-21,tkachmarusia@example.net
Тимченко,Данило,Мар’янович,Чоловік,1982.05.04,Історик,місто Яремче,"сквер Калинова, буд. 96 кв. 395, Охтирка, 70968",+380 (95) 961-72-08,myronvasylashko@example.org
Кащенко,Пилип,Назаріївна,Чоловік,1990.03.09,Бухгалтер,село Ржищів,"проспект Травневий 4-й, буд. 2 кв. 8, Новий Розділ, 16823",+380 99 602-27-50,neporozhniihennadii@example.com
Черненко,Пантелеймон,Федорович,Чоловік,1985.11.14,Співак,хутір Чорнобиль,"узвіз Бехтерєва, буд. 2, Кропивницький, 42496",+380 (37) 065-21-29,artiukhemiliia@example.com
Ільченко,Дан,Юрійович,Чоловік,1991.09.29,Електрик,хутір Мукачево,"площа Цементний, буд. 12, Червоноград, 81990",460 29 64,amvrosiimakohon@example.org
Євтушенко,Орест,Лаврінівна,Чоловік,1992.03.23,Електромонтер,селище Дергачі,"шосе Ванцетті, буд. 396, Бердянськ, 55454",+380 43 676 65 68,nestorkharchenko@example.net
Козак,Дмитро,Герасимівна,Чоловік,1998.12.25,Ювелір,село Прилуки,"шосе Курська, буд. 232, Ківерці, 20099",076 833 67 24,volodymyra48@example.net
Сиротенко,Софія,Анісіївна,Жінка,1986.08.16,Хімік,хутір Привілля,"шосе Лінія 22-га, буд. 12 кв. 20, Золочів, 65323",+380 65 150-49-11,dubynaivan@example.org
Франко,Маруся,Федорович,Жінка,1980.05.02,Дипломат,хутір Армянськ,"сквер Степана Олійника узвіз, буд. 4 кв. 87, Хорол , 85026",+380 55 953 00 77,jarkhymovych@example.net
Величко,Марія,Михайлович,Жінка,1954.11.27,Піаніст,село Білогірськ,"сквер Санаторний, буд. 2, Нова Каховка, 36406",+380 (05) 146-96-83,zdrozd@example.com
Оробець,Святослава,Філаретівна,Жінка,1952.12.17,Золотар,селище Кропивницький,"проспект Палубний, буд. 898 кв. 99, Бучач, 92642",483 28 58,panteleimonzubko@example.com
Чекалюк,Ігор,Юстиніанівна,Чоловік,1959.01.15,Водій,село Гірник ,"проспект 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 24, Новояворівськ, 67316",+380 (57) 485-49-44,bkovpak@example.org
Алексійчук,Леонтій,Даніїлівна,Чоловік,1955.11.06,Кінорежисер,село Южне,"шосе Вчительської, 2-й, буд. 0, Долина , 53595",039 075-15-14,lukianskopenko@example.org
Супруненко,Микита,Михайлович,Чоловік,1971.01.13,Кушнір,місто Олександрівськ,"сквер Лютневий 1-й, буд. 6 кв. 0, Березне, 55509",+380 44 781 69 59,fastenkoadam@example.com
Вернидуб,Трохим,Макарович,Чоловік,1992.07.14,Кінорежисер,селище Кальміуське,"провулок Левкоєва, буд. 880 кв. 439, Новоград-Волинський, 78183",162 53 80,dziubaievhen@example.com
Єфименко,Трохим,Русланович,Чоловік,1951.05.05,Випробувач,село Білогірськ,"проспект Косовська, буд. 28 кв. 929, Овруч, 46964",624 60 22,zarudnyivladyslav@example.com
Чалий,Микита,Тихонівна,Чоловік,1965.02.14,Єгер,село Хрестівка,"площа Дальницьке, буд. 889, Пирятин, 22845",+380 69 806 81 97,iopanasenko@example.com
Тягнибок,Емілія,Горгоніївна,Жінка,1997.03.28,Філолог,хутір Тростянець,"узвіз Василя Кандинського, буд. 14, Свалява, 68109",+380 46 253-46-43,zlatoslavavasylevych@example.org
Романець,Аліна,Аркадіївна,Жінка,1960.08.03,Кухар,місто Костопіль,"провулок Софії Перовської, буд. 5, Дубно, 54122",005 352 80 02,vasyl55@example.net
Зінчук,Орина,Вікторівич,Жінка,1985.02.17,Пекар,хутір Часів Яр,"шосе Травневий 5-й, буд. 431, Сєвєродонецьк, 23822",002 645 30 27,hukserhii@example.org
Байрак,Сніжана,Андронімівна,Жінка,1997.08.14,Науковець,село Бобринець,"набережна Небесної Сотні, буд. 231, Вараш, 68740",018 807 81 40,tandriienko@example.org
